name,record,height,weight,reach,stance,dob
Azunna Anyanwu,14-5-0,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981"
Shinsho Anzai,10-3-0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985"
Shinya Aoki,39-7-0 (1 NC),"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983"
Aoriqileng,25-10-0,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993"
Josh Appelt,15-7-0,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983"
Erik Apple,10-3-0,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977"
Kenji Arai,15-15-5,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979"
Romie Aram,7-1-0,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977"
Felipe Arantes,18-10-1 (2 NC),"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988"
Igor Araujo,25-9-0 (1 NC),"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980"
Viviane Araujo,12-5-0,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986"
Julio Arce,18-6-0,"5' 7""",135 lbs.,"70""",Southpaw,"Oct 27, 1989"
Art Arciniega,15-7-0,"5' 8""",145 lbs.,--,,"Oct 15, 1981"
Tristan Arenal,7-4-0,--,155 lbs.,--,,--
Gabriel Arges,0-0-0,--,170 lbs.,--,,"Jan 29, 1993"
Dan Argueta,9-1-0 (2 NC),"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993"
Reza Arianto,5-0-0,--,155 lbs.,--,,--
Hashem Arkhagha,6-1-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989"
Andrei Arlovski,34-23-0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979"
Garrett Armfield,10-3-0,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996"
Joey Armstrong,5-2-0,--,--,--,,--
Austin Arnett,16-6-0,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991"
Ricardo Arona,14-5-0,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978"
Eli Aronov,6-1-0,"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996"
Chalid Arrab,7-3-0,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975"
Akbarh Arreola,23-11-1,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
Matt Arroyo,3-3-0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982"
Antonio Arroyo,9-5-0,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989"
Gilles Arsene,1-1-0,"5' 9""",190 lbs.,--,Southpaw,--
Veta Arteaga,3-1-0,"5' 7""",125 lbs.,--,,--
Cesar Arzamendia,8-3-0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991"
Teddy Ash,14-5-0,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989"
Arman Ashimov,11-3-1,"5' 6""",125 lbs.,--,,"Jan 14, 1992"
Yanal Ashmouz,7-1-0,"5' 9""",155 lbs.,"68""",Orthodox,"Mar 31, 1995"
Asjabharan,7-6-0,"5' 6""",135 lbs.,--,,"Jul 31, 1992"
Askar Askar,11-1-0,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994"
Askar Askarov,14-1-1,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992"
Cyril Asker,9-4-0,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985"
Khusein Askhabov,23-1-0,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995"
Scott Askham,14-4-0,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988"
Ben Askren,19-2-0 (1 NC),"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984"
Ibo Aslan,12-1-0,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996"
Tom Aspinall,14-3-0,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993"
Bruno Assis,8-4-0,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992"
Junior Assuncao,16-6-0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981"
Raphael Assuncao,28-10-0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982"
Bazigit Atajev,17-1-0,"6' 1""",230 lbs.,--,Orthodox,--
Rich Attonito,10-5-0,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977"
Olivier Aubin-Mercier,11-5-0,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989"
Pat Audinwood,11-2-1,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986"
Jose Augusto,6-2-0 (1 NC),"6' 3""",251 lbs.,--,,"Mar 28, 1992"
Marcus Aurelio,22-10-0,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973"
David Avellan,2-1-0,"5' 9""",185 lbs.,--,Orthodox,--
Blas Avena,8-7-0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983"
Levi Avera,18-15-0,"6' 1""",170 lbs.,--,,"May 17, 1982"
Anthony Avila,13-5-0,"5' 7""",145 lbs.,--,,"Dec 29, 1988"
Chris Avila,5-4-0,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993"
Julia Avila,9-3-0,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988"
Saad Awad,20-9-0,"5' 11""",155 lbs.,--,,"Jun 07, 1983"
Javy Ayala,10-5-0,"6' 1""",265 lbs.,--,,"Aug 20, 1988"
Jessin Ayari,16-6-0,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992"
Abu Azaitar,14-4-1,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
Ottman Azaitar,13-2-0,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990"
Luiz Azeredo,15-10-0,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976"
Luciano Azevedo,17-9-1,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981"
Hunter Azure,9-2-0,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992"
Niklas Backstrom,11-3-0 (1 NC),"6' 1""",145 lbs.,--,Orthodox,"Aug 22, 1989"
Seth Baczynski,20-14-0,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981"
Abdul Azeem Badakhshi,13-3-0,--,145 lbs.,--,,--
Ryan Bader,23-5-0,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983"
Izabela Badurek,6-3-0,"5' 5""",115 lbs.,--,Orthodox,"Jul 11, 1991"
Miguel Baeza,10-3-0,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992"
Ali Bagautinov,15-6-0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
Mehdi Baghdad,11-5-0,"6' 1""",155 lbs.,--,Orthodox,"Apr 13, 1985"
Melsik Baghdasaryan,8-2-0,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992"
Siyar Bahadurzada,24-8-1,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984"
Ignacio Bahamondes,14-5-0,"6' 3""",155 lbs.,"75""",Orthodox,"Aug 27, 1997"
Bahatebole Batebolati,8-1-1,"5' 11""",155 lbs.,"71""",Southpaw,"Sep 12, 1997"
Shamar Bailey,16-11-0,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982"
Jordan Bailey,6-3-0,"5' 9""",145 lbs.,--,,--
Scott Baker,1-1-0,"6' 0""",210 lbs.,--,,--
Bryan Baker,18-5-0,"6' 3""",185 lbs.,--,Orthodox,"Oct 13, 1985"
Jin Bala,23-3-0,"5' 9""",155 lbs.,--,,--
Balajin,23-4-0,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 31, 1992"
Oluwale Bamgbose,6-4-0,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987"
Stephen Banaszak,5-5-0,"6' 0""",145 lbs.,--,,"Dec 07, 1990"
Marcin Bandel,15-7-0,"5' 10""",155 lbs.,--,Orthodox,"Oct 10, 1989"
Humberto Bandenay,14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994"
Tae Hyun Bang,18-10-0,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983"
Yohan Banks,2-1-0,--,--,--,,--
Shauna Bannon,5-1-0,"5' 5""",115 lbs.,"65""",Switch,"Oct 23, 1993"
Antonio Banuelos,20-11-1,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
Renan Barao,34-9-0 (1 NC),"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987"
Junior Barata,9-3-1,"5' 10""",170 lbs.,--,Orthodox,"Jan 25, 1982"
Maycee Barber,13-2-0,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998"
Bryan Barberena,18-11-0,"6' 0""",185 lbs.,"72""",Southpaw,"May 03, 1989"
Dione Barbosa,6-2-0,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992"
Edson Barboza,24-11-0,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986"
Raoni Barcelos,17-5-0,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987"
Daniel Barez,16-6-0,"5' 6""",125 lbs.,"66""",Orthodox,"Dec 10, 1988"
Danny Barlow,7-0-0,"6' 2""",170 lbs.,"79""",Southpaw,"Aug 02, 1995"
Luke Barnatt,13-4-0,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988"
James Barnes,14-5-0,"5' 8""",135 lbs.,"71""",Orthodox,"May 28, 1982"
Nick Barnes,11-2-0,"5' 11""",170 lbs.,--,,--
Shonte Barnes,6-2-1,"5' 11""",185 lbs.,"76""",Southpaw,"Feb 09, 1987"
Josh Barnett,35-8-0,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977"
Chris Barnett,23-8-0,"5' 9""",265 lbs.,"75""",Orthodox,"Jun 14, 1986"
Chris Barnhizer,2-3-0,--,--,--,,--
David Baron,17-4-1,"5' 6""",155 lbs.,--,Switch,"Feb 15, 1973"
Phil Baroni,15-18-0,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976"
Dan Barrera,3-1-0,"5' 9""",170 lbs.,--,Orthodox,"Dec 23, 1980"
Carlos Barreto,14-9-0,"6' 4""",230 lbs.,--,Orthodox,--
Jose Barreto,0-1-0,--,185 lbs.,--,Southpaw,--
Peter Barrett,11-5-0,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986"
Marc-Andre Barriault,16-7-0 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990"
David Barrios,4-8-0,"5' 6""",145 lbs.,--,,--
Alexandre Barros,22-11-0,"5' 9""",170 lbs.,--,Southpaw,"Nov 19, 1976"
Ricardo Barros,2-2-0,"6' 1""",205 lbs.,--,,"Mar 22, 1976"
Francimar Barroso,19-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980"
Pat Barry,8-7-0,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979"
Dean Barry,4-2-0,"5' 10""",170 lbs.,"72""",Orthodox,"Jul 03, 1992"
Enrique Barzola,17-5-2,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989"
Javid Basharat,14-0-0 (1 NC),"5' 9""",135 lbs.,"69""",Orthodox,"Sep 07, 1995"
Farid Basharat,12-0-0,"5' 8""",135 lbs.,"71""",Orthodox,"Aug 02, 1997"
Stephen Bass,11-2-0,"5' 9""",145 lbs.,--,Orthodox,"Nov 14, 1982"
Sean Bassett,0-4-0,--,155 lbs.,--,,--
Ryan Bastianelli,6-7-0 (1 NC),"5' 5""",135 lbs.,--,,--
Shayna Baszler,15-11-0,"5' 7""",135 lbs.,--,Orthodox,"Aug 08, 1980"
Michel Batista,4-1-0 (1 NC),"6' 3""",260 lbs.,--,Orthodox,"Apr 20, 1984"
Bryan Battle,11-2-0,"6' 1""",170 lbs.,"77""",Orthodox,"Sep 21, 1994"
Alan Baudot,8-3-0 (2 NC),"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988"
Mario Bautista,14-2-0,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993"
Chris Beal,10-5-0,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985"
Donovan Beard,7-2-0,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 05, 1989"
Rudy Bears,16-15-0,"5' 11""",170 lbs.,--,Southpaw,--
Salvador Becerra,5-2-0,"5' 9""",155 lbs.,--,,--
Ariel Beck,4-5-0,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 16, 1990"
Jeff Bedard,13-3-0,"5' 6""",145 lbs.,--,Orthodox,"Feb 06, 1970"
Eric Bedard,6-7-0,"6' 2""",239 lbs.,--,,"Sep 11, 1984"
Johnny Bedford,21-13-1 (1 NC),"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983"
Rolando Bedoya,14-3-0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 13, 1997"
Chase Beebe,24-13-1,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985"
Lyle Beerbohm,24-3-0,"5' 10""",155 lbs.,--,Southpaw,"Feb 05, 1979"
Allan Begosso,7-2-1,"5' 5""",135 lbs.,"66""",Orthodox,"Nov 23, 1995"
Mirsad Bektic,13-4-0,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991"
